DateKey,Month Value,OrganizationKey,DepartmentKey,ScenarioKey,AccountKey,Amount,AmountUSD
20051001,200510,8,6,1,52,12848.29,10910.69
20051001,200510,8,6,1,54,191.99,163.04
20051001,200510,8,6,1,56,119236.64,101255.04
20051001,200510,8,6,1,57,17843.84,15152.88
20051001,200510,8,6,1,60,29697.09,25218.59
20051001,200510,8,6,1,61,2376.88,2018.43
20051001,200510,8,6,1,62,1485.96,1261.87
20051001,200510,8,6,1,63,12848.29,10910.69
20051001,200510,8,6,1,65,319.27,271.12
20051001,200510,8,6,1,66,290.48,246.67
20051001,200510,8,6,1,67,160.18,136.02
20051001,200510,8,6,1,68,114.72,97.42
20051001,200510,8,6,1,69,32.9,27.94
20051001,200510,8,6,1,71,38.96,33.08
20051001,200510,8,6,1,72,857.16,727.9
20051001,200510,8,6,1,73,246.54,209.36
20051001,200510,8,6,1,74,228.36,193.92
20051001,200510,8,6,1,76,3463.27,2940.99
20051001,200510,8,6,1,77,620.79,527.17
20051001,200510,8,6,1,78,198.05,168.18
20051001,200510,8,6,1,80,740.49,628.82
20051001,200510,8,6,1,81,458.67,389.5
20051001,200510,8,6,1,82,45.02,38.23
20051001,200510,8,6,1,83,157.14,133.44
20051001,200510,8,6,1,84,131.39,111.58
20051001,200510,8,6,1,85,125.33,106.43
20051001,200510,8,6,1,87,682.91,579.92
20051001,200510,8,6,1,89,128.36,109
20051001,200510,8,6,1,90,196.54,166.9
20051001,200510,8,6,1,91,-154.98,-131.61
20051001,200510,8,6,1,92,261.69,222.23
20051001,200510,8,6,1,94,40494.26,34387.48
20051001,200510,8,6,1,101,428254.52,363671.17
20051001,200510,7,6,1,52,7553,7553
20051001,200510,7,6,1,53,1258,1258
20051001,200510,7,6,1,56,50990,50990
20051001,200510,7,6,1,57,3147,3147
20051001,200510,7,6,1,60,25480,25480
20051001,200510,7,6,1,61,2802,2802
20051001,200510,7,6,1,62,2038,2038
20051001,200510,7,6,1,63,2517,2517
20051001,200510,7,6,1,65,462,462
20051001,200510,7,6,1,66,420,420
20051001,200510,7,6,1,67,210,210
20051001,200510,7,6,1,68,161,161
20051001,200510,7,6,1,69,46,46
20051001,200510,7,6,1,71,56,56
20051001,200510,7,6,1,72,503,503
20051001,200510,7,6,1,73,300,300
20051001,200510,7,6,1,74,215,215
20051001,200510,7,6,1,76,1357,1357
20051001,200510,7,6,1,77,630,630
20051001,200510,7,6,1,78,194,194
20051001,200510,7,6,1,80,757,757
20051001,200510,7,6,1,81,468,468
20051001,200510,7,6,1,82,48,48
20051001,200510,7,6,1,83,167,167
20051001,200510,7,6,1,84,147,147
20051001,200510,7,6,1,85,133,133
20051001,200510,7,6,1,87,630,630
20051001,200510,7,6,1,89,144,144
20051001,200510,7,6,1,90,220,220
20051001,200510,7,6,1,91,-176,-176
20051001,200510,7,6,1,92,294,294
20051001,200510,7,6,1,94,11739,11739
20051001,200510,7,6,1,101,125891,125891
20051001,200510,3,6,1,52,3883,3883
20051001,200510,3,6,1,53,2588,2588
20051001,200510,3,6,1,54,1,1
20051001,200510,3,6,1,56,61418,61418
20051001,200510,3,6,1,57,2157,2157
20051001,200510,3,6,1,60,14400,14400
20051001,200510,3,6,1,61,1296,1296
20051001,200510,3,6,1,62,1008,1008
20051001,200510,3,6,1,63,2589,2589
20051001,200510,3,6,1,65,240,240
20051001,200510,3,6,1,66,218,218
20051001,200510,3,6,1,67,112,112
20051001,200510,3,6,1,68,84,84
20051001,200510,3,6,1,69,24,24
20051001,200510,3,6,1,71,24,24
20051001,200510,3,6,1,72,259,259
20051001,200510,3,6,1,73,161,161
20051001,200510,3,6,1,74,103,103
20051001,200510,3,6,1,76,703,703
20051001,200510,3,6,1,77,353,353
20051001,200510,3,6,1,78,101,101
20051001,200510,3,6,1,80,382,382
20051001,200510,3,6,1,81,237,237
20051001,200510,3,6,1,82,23,23
20051001,200510,3,6,1,83,79,79
20051001,200510,3,6,1,84,66,66
20051001,200510,3,6,1,85,63,63
20051001,200510,3,6,1,87,360,360
20051001,200510,3,6,1,89,128,128
20051001,200510,3,6,1,90,196,196
20051001,200510,3,6,1,91,-157,-157
20051001,200510,3,6,1,92,262,262
20051001,200510,3,6,1,94,5530,5530
20051001,200510,3,6,1,101,129439,129439
20051001,200510,5,6,1,52,5610,5610
20051001,200510,5,6,1,53,5610,5610
20051001,200510,5,6,1,56,38587,38587
20051001,200510,5,6,1,60,31680,31680
20051001,200510,5,6,1,61,2534,2534
20051001,200510,5,6,1,62,1900,1900
20051001,200510,5,6,1,63,2244,2244
20051001,200510,5,6,1,65,424,424
20051001,200510,5,6,1,66,385,385
20051001,200510,5,6,1,67,200,200
20051001,200510,5,6,1,68,152,152
20051001,200510,5,6,1,69,42,42
20051001,200510,5,6,1,71,40,40
20051001,200510,5,6,1,72,224,224
20051001,200510,5,6,1,73,301,301
20051001,200510,5,6,1,74,188,188
20051001,200510,5,6,1,76,1232,1232
20051001,200510,5,6,1,77,684,684
20051001,200510,5,6,1,78,227,227
20051001,200510,5,6,1,80,907,907
20051001,200510,5,6,1,81,561,561
20051001,200510,5,6,1,82,59,59
20051001,200510,5,6,1,83,206,206
20051001,200510,5,6,1,84,185,185
20051001,200510,5,6,1,85,164,164
20051001,200510,5,6,1,87,720,720
20051001,200510,5,6,1,89,181,181
20051001,200510,5,6,1,90,278,278
20051001,200510,5,6,1,91,-222,-222
20051001,200510,5,6,1,92,371,371
20051001,200510,5,6,1,94,10074,10074
20051001,200510,5,6,1,101,112205,112205
20051001,200510,4,6,1,52,1977,1977
20051001,200510,4,6,1,53,5933,5933
20051001,200510,4,6,1,54,8,8
20051001,200510,4,6,1,56,41363,41363
20051001,200510,4,6,1,57,8240,8240
20051001,200510,4,6,1,60,29120,29120
20051001,200510,4,6,1,61,3203,3203
20051001,200510,4,6,1,62,2038,2038
20051001,200510,4,6,1,63,5933,5933
20051001,200510,4,6,1,65,406,406
20051001,200510,4,6,1,66,369,369
20051001,200510,4,6,1,67,189,189
20051001,200510,4,6,1,68,140,140
20051001,200510,4,6,1,69,41,41
20051001,200510,4,6,1,71,35,35
20051001,200510,4,6,1,72,197,197
20051001,200510,4,6,1,73,273,273
20051001,200510,4,6,1,74,195,195
20051001,200510,4,6,1,76,1874,1874
20051001,200510,4,6,1,77,611,611
20051001,200510,4,6,1,78,188,188
20051001,200510,4,6,1,80,720,720
20051001,200510,4,6,1,81,445,445
20051001,200510,4,6,1,82,45,45
20051001,200510,4,6,1,83,157,157
20051001,200510,4,6,1,84,135,135
20051001,200510,4,6,1,85,126,126
20051001,200510,4,6,1,87,630,630
20051001,200510,4,6,1,89,132,132
20051001,200510,4,6,1,90,203,203
20051001,200510,4,6,1,91,-162,-162
20051001,200510,4,6,1,92,271,271
20051001,200510,4,6,1,94,5821,5821
20051001,200510,4,6,1,101,197774,197774
20051001,200510,6,6,1,52,3343,3343
20051001,200510,6,6,1,53,3343,3343
20051001,200510,6,6,1,54,1,1
20051001,200510,6,6,1,56,57287,57287
20051001,200510,6,6,1,57,5572,5572
20051001,200510,6,6,1,60,21424,21424
20051001,200510,6,6,1,61,1928,1928
20051001,200510,6,6,1,62,1500,1500
20051001,200510,6,6,1,63,3260,3260
20051001,200510,6,6,1,65,328,328
20051001,200510,6,6,1,66,298,298
20051001,200510,6,6,1,67,151,151
20051001,200510,6,6,1,68,114,114
20051001,200510,6,6,1,69,33,33
20051001,200510,6,6,1,71,47,47
20051001,200510,6,6,1,72,217,217
20051001,200510,6,6,1,73,216,216
20051001,200510,6,6,1,74,138,138
20051001,200510,6,6,1,76,1118,1118
20051001,200510,6,6,1,77,463,463
20051001,200510,6,6,1,78,150,150
20051001,200510,6,6,1,80,601,601
20051001,200510,6,6,1,81,372,372
20051001,200510,6,6,1,82,39,39
20051001,200510,6,6,1,83,137,137
20051001,200510,6,6,1,84,124,124
20051001,200510,6,6,1,85,110,110
20051001,200510,6,6,1,87,468,468
20051001,200510,6,6,1,89,185,185
20051001,200510,6,6,1,90,285,285
20051001,200510,6,6,1,91,-228,-228
20051001,200510,6,6,1,92,380,380
20051001,200510,6,6,1,94,4761,4761
20051001,200510,6,6,1,101,167185,167185
20051001,200510,3,6,2,52,4300,4300
20051001,200510,3,6,2,53,2200,2200
20051001,200510,3,6,2,54,0,0
20051001,200510,3,6,2,56,73700,73700
